Id,Job,Company,Address,Deadline,URL
161,Internal Audit & MIS (Senior / Junior),Jagdamba Steels,"Naxal, Kathmandu","April 13, 2019, 11:55 p.m.",www.merojobs.com/assistant-anesthesia/
162,Store Head (GM),Jagdamba Steels,"Simara, Bara","April 13, 2019, 11:55 p.m.",www.merojobs.com/store-manager-cashier-2/
163,Civil Engineer,Jagadamba International,"Chabahil, Kathmandu","April 5, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
164,Electrical Engineer,Jagadamba International,"Mitrapark, Chabahil","April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
165,IT Engineer,Jagadamba International,Kathmandu,"April 5, 2019, 11:55 p.m.",www.merojobs.com/civil-engineer-353/
166,Site Supervisor,A Reputed Interior Based Company,Basundhara,"April 8, 2019, 11:55 p.m.",www.merojobs.com/electrical-engineer-95/
167,Assistant Counsellor,Lincoln Educational Consultancy,"Dillibazar, Kathmandu","April 2, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
168,School Leaders,Collaborative Schools Network,Budhanilkantha Municipality,"April 4, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
169,"Primary Level Teachers (English, Science and Computer) - Female",Rosebud School,"Kathmandu, Nepal","April 9, 2019, 11:59 p.m.",www.merojobs.com/assistant-counsellor/
170,Primary Level Part Time Teacher (Nepali) - Female,Rosebud School,"Kathmandu, Nepal","April 9, 2019, 11:59 p.m.",www.merojobs.com/school-leaders/
171,Primary level Grade Teachers (Female),Rosebud School,"Kathmandu, Nepal","April 9, 2019, 11:59 p.m.",www.merojobs.com/primary-level-teachers-24/
172,Consumer Marketing Assistant Manager,Sastodeal,"Kathmandu, Nepal","April 7, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
173,Marketing Executive,Echoes Global Education,"City Center, Kamalpokhari, Kathmandu, Nepal","April 7, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
174,Business Development Executive- Female,MOBEECO,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/consumer-marketing-assistant-manager/
175,Marketing Executive,Shindraa Solutions,"Dallu, Kathmandu","April 5, 2019, 11:55 p.m.",www.merojobs.com/marketing-executive-782/
176,Marketing Representative,Net Payment Solution,"Panipokhari, Kathmandu","April 8, 2019, 11:55 p.m.",www.merojobs.com/business-development-executive-female-4/
177,Accountant,The Nana Hotels,"Hadigau, Kathmandu","April 4, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
178,Senior Accountant,Key Foods International,"Kathmandu, Nepal","April 7, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
179,Finance Officer,Balaji Technology,"Corporate office, Kupondole-10, Lalitpur","April 5, 2019, 11:55 p.m.",www.merojobs.com/accountant-1343/
180,Accountant,Sun Business Nepal,"Boudha, Kathmandu, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/senior-accountant-183/
