Job,Company,Address,Deadline,URL
Project Coordinator,Society of Deafblind Parents,"Kathmandu, Nepal with frequent visits to the families of ...",2019-04-07,www.merojobs.com/deafblind-educator/
ECA & CCA In-Charges,Bhaktapur NIST School,Bhaktapur,2019-04-05,www.merojobs.com/facebook/login/
Operation Manager (Male),ARC Architects And Engineers,"Kupondole, lalitpur",2019-04-10,www.merojobs.com/google/login/?method=oauth2
Pre- Primary Academic Coordinator (Female),Eurokids Tinkune,"Tinkune, Kathmandu",2019-04-05,www.merojobs.com/eca-cca-in-charges/
Customer Development - MIS,A Multinational Company,"Kathmandu, Nepal",2019-04-06,www.merojobs.com/operation-manager-81/
Admissions Officer,An Education Institution,"Kathmandu, Nepal",2019-04-06,www.merojobs.com/pre-primary-academic-coordinator/
Officer,Century Commercial Bank Limited,"Salleri, Phidim, Bhojpur, Diktel, Khurkot, Singati, Jiri,...",2019-04-02,www.merojobs.com/facebook/login/
Assistant Officer,Century Commercial Bank Limited,"Okhaldhunga, Daman, Hattisude, Bajrabarahi, Bhimphedi, Pa...",2019-04-02,www.merojobs.com/google/login/?method=oauth2
Supervisor,Century Commercial Bank Limited,"Pyauli- Bhojpur, Lamidanda- Khotang, Bhumikasthan- Arghak...",2019-04-02,www.merojobs.com/officer-62/
Deposit Marketing Officer,Century Commercial Bank Limited,"Kathmandu, Nepal",2019-04-02,www.merojobs.com/assistant-officer-13/
Cafe Manager - Female,Asia Woman Bridge Nepal (AWBN),"Kumaripati, Lalitpur",2019-04-05,www.merojobs.com/facebook/login/
Sales Executive,Laser Travel and Tours P. LTD,"Bhaisepati, Lalitpur, Central Development Region, Nepal",2019-04-09,www.merojobs.com/google/login/?method=oauth2
Tour Officer,Plan Holidays Travels & Tours,"Bhagabatimarg, Thamel  , Kathmandu  Nepal",2019-04-11,www.merojobs.com/cafe-manager-female/
Supervisor,The lapsi tree,Nagarkot,2019-04-02,www.merojobs.com/sales-executive-452/
Chef,The lapsi tree,Nagarkot,2019-04-02,www.merojobs.com/tour-officer-55/
Editorial Interns,The Kathmandu Post,"Pokhara, Biratnagar, Bhairahawa",2019-04-03,www.merojobs.com/facebook/login/
Video Editor,A Reputed IT Company,"Koteshwor, Kathmandu",2019-04-05,www.merojobs.com/google/login/?method=oauth2
Front Desk Officer,Dharma Adventures,"Kathmandu, Nepal",2019-04-11,www.merojobs.com/facebook/login/
Receptionist,Wilson Academy,"Bafal Marg, Kathmandu, Nepal",2019-04-05,www.merojobs.com/google/login/?method=oauth2
Front Desk / Receptionist,Raman General,Lalitpur,2019-04-12,www.merojobs.com/front-desk-officer-558/
Customer Service Representative (CSR),Saturn Outsource,"Kamalpokhari, Kathmandu",2019-04-11,www.merojobs.com/receptionist-1097/
Front Desk Officer (FDO),Tassi Technologies Incorporation,Baluwatar,2019-04-03,www.merojobs.com/front-deskreceptionist-4/
एसिस्टेण्ट मेकानिक्स,Bajaj 2 Wheelers,"Maharajgunj, Kathmandu",2019-04-03,www.merojobs.com/facebook/login/
Production Manager,Amrapali Beverage Pvt. Ltd.,"Gaushala, Mahottari",2019-04-12,www.merojobs.com/google/login/?method=oauth2
Production Incharge,Amrapali Beverage Pvt. Ltd.,"Gaushala, Mahottari",2019-04-12,www.merojobs.com/-1676/
